@relation 4.libweb-numeric-In-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rfirst-last

@attribute libweb {'\'(-inf-62.666667]\'','\'(62.666667-125.333333]\'','\'(125.333333-inf)\''}
@attribute dumy_label {dumy_label}

@data
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
'\'(62.666667-125.333333]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(-inf-62.666667]\'',dumy_label
'\'(125.333333-inf)\'',dumy_label
